Team,2014,2015,2016,2017,2018,2019,2020,2021,2022
Arsenal,4,3,2,5,6,5,8,8,5
Aston Villa,5,17,20,,,,17,11,14
Birmingham,,,,,,,,,
Blackburn,,,,,,,,,
Blackpool,,,,,,,,,
Bolton,,,,,,,,,
Bournemouth,,,16,9,12,14,18,,
Bradford,,,,,,,,,13
Brighton,,,,,15,17,15,16,9
Brentford,,,,,,,,,
Burnley,,19,,16,7,15,10,17,18
Cardiff,10,,,,,18,,,
Charlton,,,,,,,,,
Chelsea,3,1,10,1,5,3,4,4,3
Coventry,,,,,,,,,
Crystal Palace,11,10,15,14,11,12,14,14,12
Derby,,,,,,,,,
Everton,5,11,11,7,8,8,12,10,16
Fulham,19,,,,,19,,18,
Huddersfield,16,,,,16,20,,,
Hull,,18,,18,,,,,
Ipswich,,,,,,,,,
Leeds,,,,,,,,9,17
Leicester,,14,1,12,9,9,5,5,8
Liverpool,2,6,8,4,4,2,1,3,2
Man City,1,2,4,3,1,1,2,1,1
Man United,7,4,5,6,2,6,3,2,6
Middlesboro,,,,,,,,,
Middlesbrough,,,,19,,,,,
Newcastle,10,15,18,,10,13,13,12,11
Norwich,18,,19,,,,20,,20
Portsmouth,,,,,,,,,
QPR,,,,,,,,,
Reading,,20,,,,,,,
Sheffield United,,,,,,,9,20,
Southampton,8,7,6,8,17,16,11,15,15
Stoke,9,9,9,13,19,,,,
Sunderland,14,16,17,20,,,,,
Swansea,12,8,12,15,18,,,,
Tottenham,6,5,3,2,3,4,6,7,4
Watford,,,13,17,14,11,19,,19
West Brom,17,13,14,10,20,,,19,
West Ham,13,12,7,11,13,10,16,6,7
Wigan,,,,,,,,,
Wolves,,,,,,7,7,13,10
Wimbledon,,,,,,,,,